DrugBank ID	SIDE EFFECT	MIN	MEAN	MAX	Drug name
DB00106	Breast enlargement	29.6	29.6	29.6	Abarelix
DB00106	Breast pain	19.8	19.8	19.8	Abarelix
DB00106	Constipation	14.8	14.8	14.8	Abarelix
DB00106	Diarrhoea	11.1	11.1	11.1	Abarelix
DB00106	Dizziness	12.3	12.3	12.3	Abarelix
DB00106	Dysuria	9.88	9.88	9.88	Abarelix
DB00106	Fatigue	9.88	9.88	9.88	Abarelix
DB00106	Headache	12.3	12.3	12.3	Abarelix
DB00106	Hot flush	79.0	79.0	79.0	Abarelix
DB00106	Menopausal symptoms	79.0	79.0	79.0	Abarelix
DB00106	Nausea	9.88	9.88	9.88	Abarelix
DB00106	Nipple pain	19.8	19.8	19.8	Abarelix
DB00106	Nipple tenderness	19.8	19.8	19.8	Abarelix
DB00106	Oedema peripheral	14.8	14.8	14.8	Abarelix
DB00106	Pain	30.9	30.9	30.9	Abarelix
DB00106	Pollakiuria	9.88	9.88	9.88	Abarelix
DB00106	Sleep disorder	44.4	44.4	44.4	Abarelix
DB00106	Sleep disturbance	44.4	44.4	44.4	Abarelix
DB00106	Upper respiratory tract infection	12.3	12.3	12.3	Abarelix
DB00106	Urinary retention	9.88	9.88	9.88	Abarelix
DB00106	Urinary tract infection	9.88	9.88	9.88	Abarelix
DB00130	Abdominal distension	11.1	11.1	11.1	L-Glutamine
DB00130	Abdominal pain	6.25	14.97	25.0	L-Glutamine
DB00130	Angiopathy	11.1	11.1	11.1	L-Glutamine
DB00130	Anorectal discomfort	6.25	17.3625	33.3	L-Glutamine
DB00130	Arthralgia	12.5	25.2	43.8	L-Glutamine
DB00130	Asthenia	13.3	13.3	13.3	L-Glutamine
DB00130	Back pain	6.25	8.675	11.1	L-Glutamine
DB00130	Bacterial infection	11.1	18.925	33.3	L-Glutamine
DB00130	Body temperature increased	6.25	13.2125	22.2	L-Glutamine
DB00130	Breast pain	6.25	8.675	11.1	L-Glutamine
DB00130	Breast pain female	6.25	8.675	11.1	L-Glutamine
DB00130	Calculus of kidney	11.1	11.1	11.1	L-Glutamine
DB00130	Candida infection	12.5	12.5	12.5	L-Glutamine
DB00130	Chest pain	18.8	18.8	18.8	L-Glutamine
DB00130	Chills	11.1	11.1	11.1	L-Glutamine
DB00130	Constipation	11.1	11.1	11.1	L-Glutamine
DB00130	Crohn's disease	11.1	11.1	11.1	L-Glutamine
DB00130	Crohns disease aggravated	11.1	11.1	11.1	L-Glutamine
DB00130	Dehydration	11.1	14.95	18.8	L-Glutamine
DB00130	Depression	11.1	16.65	22.2	L-Glutamine
DB00130	Dermatitis	6.25	9.13	12.5	L-Glutamine
DB00130	Discomfort	12.5	12.5	12.5	L-Glutamine
DB00130	Dizziness	6.25	9.375	12.5	L-Glutamine
DB00130	Dry mouth	6.25	8.675	11.1	L-Glutamine
DB00130	Enlargement abdomen	11.1	11.1	11.1	L-Glutamine
DB00130	Fatigue	13.3	13.3	13.3	L-Glutamine
DB00130	Feeling abnormal	12.5	12.5	12.5	L-Glutamine
DB00130	Flatulence	22.2	23.6	25.0	L-Glutamine
DB00130	Fungal infection	11.1	11.1	11.1	L-Glutamine
DB00130	Gastric ulcer	11.1	11.1	11.1	L-Glutamine
DB00130	Gastrointestinal pain	6.25	14.97	25.0	L-Glutamine
DB00130	Haemorrhoids	6.25	8.675	11.1	L-Glutamine
DB00130	Headache	6.25	8.675	11.1	L-Glutamine
DB00130	Hepatic function abnormal	11.1	11.1	11.1	L-Glutamine
DB00130	Hyperhidrosis	12.5	12.5	12.5	L-Glutamine
DB00130	Hypersensitivity	11.1	11.1	11.1	L-Glutamine
DB00130	Ill-defined disorder	12.5	12.5	12.5	L-Glutamine
DB00130	Infection	6.25	13.964	33.3	L-Glutamine
DB00130	Injection site pain	31.2	31.2	31.2	L-Glutamine
DB00130	Injection site reaction	11.1	18.3	25.0	L-Glutamine
DB00130	Insomnia	11.1	11.1	11.1	L-Glutamine
DB00130	Laryngitis	11.1	11.1	11.1	L-Glutamine
DB00130	Malaise	12.5	12.5	12.5	L-Glutamine
DB00130	Malnutrition	6.25	12.05	18.8	L-Glutamine
DB00130	Mental disorder	6.25	13.183333333299998	22.2	L-Glutamine
DB00130	Musculoskeletal discomfort	11.1	20.7333333333	43.8	L-Glutamine
DB00130	Myalgia	11.1	11.8	12.5	L-Glutamine
DB00130	Nail disorder	11.1	11.1	11.1	L-Glutamine
DB00130	Nausea	12.5	21.475	31.2	L-Glutamine
DB00130	Nephrolithiasis	11.1	11.1	11.1	L-Glutamine
DB00130	Neuropathy peripheral	22.2	23.6	25.0	L-Glutamine
DB00130	Oedema	11.1	44.5666666667	81.2	L-Glutamine
DB00130	Pain	6.25	12.05	18.8	L-Glutamine
DB00130	Pancreatitis	6.25	8.675	11.1	L-Glutamine
DB00130	Pharyngitis	11.1	11.1	11.1	L-Glutamine
DB00130	Proctalgia	6.25	17.3625	33.3	L-Glutamine
DB00130	Pruritus	6.25	8.675	11.1	L-Glutamine
DB00130	Pyelonephritis	11.1	11.1	11.1	L-Glutamine
DB00130	Rash	6.25	9.13	12.5	L-Glutamine
DB00130	Rectal tenesmus	6.25	17.3625	33.3	L-Glutamine
DB00130	Rhinitis	6.67	12.19	18.8	L-Glutamine
DB00130	Rigors	11.1	11.1	11.1	L-Glutamine
DB00130	Sepsis	6.25	13.125	20.0	L-Glutamine
DB00130	Sweating increased	12.5	12.5	12.5	L-Glutamine
DB00130	Thirst	11.1	11.1	11.1	L-Glutamine
DB00130	Urethral disorder	11.1	15.2666666667	22.2	L-Glutamine
DB00130	Urinary tract disorder	11.1	15.2666666667	22.2	L-Glutamine
DB00130	Viral infection	6.25	12.4625	20.0	L-Glutamine
DB00130	Vomiting	11.1	14.4	18.8	L-Glutamine
DB00136	Discomfort	2.0	2.5	3.0	Calcitriol
DB00136	Hypercalciuria	3.0	3.0	3.0	Calcitriol
DB00136	Laboratory test abnormal	8.0	8.0	8.0	Calcitriol
DB00136	Pruritus	1.0	2.0	3.0	Calcitriol
DB00136	Psoriasis	4.0	4.0	4.0	Calcitriol
DB00136	Urine abnormality	4.0	4.0	4.0	Calcitriol
DB00136	Urine analysis abnormal	4.0	4.0	4.0	Calcitriol
DB00175	Abdominal distension	2.0	2.0	2.0	Pravastatin
DB00175	Abdominal pain	2.0	3.26666666667	5.4	Pravastatin
DB00175	Alanine aminotransferase increased	2.9	2.9	2.9	Pravastatin
DB00175	Angina pectoris	3.1	3.84	4.5	Pravastatin
DB00175	Anxiety	1.0	2.9	4.8	Pravastatin
DB00175	Arthralgia	5.9	5.95	6.0	Pravastatin
DB00175	Asthenia	1.9	4.375	8.4	Pravastatin
DB00175	Blood creatine phosphokinase increased	4.1	4.1	4.1	Pravastatin
DB00175	Body temperature increased	2.1	2.1	2.1	Pravastatin
DB00175	Cardiac pain	4.0	4.0	4.0	Pravastatin
DB00175	Chest pain	2.6	4.75	10.0	Pravastatin
DB00175	Common cold	7.0	7.0	7.0	Pravastatin
DB00175	Constipation	1.2	2.53333333333	4.0	Pravastatin
DB00175	Cough	1.0	3.575	8.2	Pravastatin
DB00175	Cramp muscle	2.0	3.55	5.1	Pravastatin
DB00175	Creatine phosphokinase increased	4.1	4.1	4.1	Pravastatin
DB00175	Depression	1.0	1.0	1.0	Pravastatin
DB00175	Dermatitis	1.3	4.78571428571	7.2	Pravastatin
DB00175	Diarrhoea	2.0	4.96666666667	6.7	Pravastatin
DB00175	Diplopia	1.6	2.5	3.4	Pravastatin
DB00175	Dizziness	1.0	3.46	7.3	Pravastatin
DB00175	Dyspepsia	2.0	2.8625	3.5	Pravastatin
DB00175	Dyspnoea	1.6	1.6	1.6	Pravastatin
DB00175	Dysuria	1.0	1.0	1.0	Pravastatin
DB00175	Fatigue	1.9	4.375	8.4	Pravastatin
DB00175	Flatulence	1.2	2.6	3.3	Pravastatin
DB00175	Gamma-glutamyltransferase increased	2.0	2.0	2.0	Pravastatin
DB00175	Gastrointestinal pain	2.0	3.26666666667	5.4	Pravastatin
DB00175	Headache	1.7	4.025	6.3	Pravastatin
DB00175	Heartburn	2.0	2.725	3.5	Pravastatin
DB00175	Infection	3.2	4.55	5.9	Pravastatin
DB00175	Influenza	2.0	4.53333333333	9.2	Pravastatin
DB00175	Lung infection	3.8	3.8	3.8	Pravastatin
DB00175	Muscle spasms	2.0	3.55	5.1	Pravastatin
DB00175	Musculoskeletal discomfort	1.4	3.66	6.0	Pravastatin
DB00175	Musculoskeletal pain	5.9	11.725	24.9	Pravastatin
DB00175	Myalgia	1.4	2.13333333333	2.7	Pravastatin
DB00175	Nasopharyngitis	7.0	7.0	7.0	Pravastatin
DB00175	Nausea	1.4	4.12	7.4	Pravastatin
DB00175	Nervousness	1.0	2.9	4.8	Pravastatin
DB00175	Nocturia	1.0	1.0	1.0	Pravastatin
DB00175	Oedema	3.0	3.0	3.0	Pravastatin
DB00175	Pain	1.4	5.7	10.0	Pravastatin
DB00175	Pain localised	1.4	5.7	10.0	Pravastatin
DB00175	Paraesthesia	3.2	3.2	3.2	Pravastatin
DB00175	Pharyngitis	2.0	2.0	2.0	Pravastatin
DB00175	Rash	1.3	3.82	7.2	Pravastatin
DB00175	Respiratory tract infection	5.9	5.9	5.9	Pravastatin
DB00175	Rhinitis	3.9	4.56	7.0	Pravastatin
DB00175	Sleep disorder	1.0	2.0	3.0	Pravastatin
DB00175	Sleep disturbance	1.0	2.0	3.0	Pravastatin
DB00175	Tension	1.0	2.9	4.8	Pravastatin
DB00175	Tracheobronchitis	3.4	3.4	3.4	Pravastatin
DB00175	Upper respiratory tract infection	1.3	9.46666666667	21.2	Pravastatin
DB00175	Urinary tract infection	2.7	2.7	2.7	Pravastatin
DB00175	Viral infection	3.2	3.2	3.2	Pravastatin
DB00175	Vision blurred	1.5	2.16666666667	3.4	Pravastatin
DB00175	Visual impairment	1.5	2.16666666667	3.4	Pravastatin
DB00175	Vomiting	1.4	4.12	7.4	Pravastatin
DB00175	Weight decreased	3.3	3.3	3.3	Pravastatin
DB00175	Weight increased	3.8	3.8	3.8	Pravastatin
DB00177	Abdominal pain	1.3	1.3	1.3	Valsartan
DB00177	Arthralgia	1.3	2.15	3.0	Valsartan
DB00177	Asthenia	1.9	2.36666666667	3.0	Valsartan
DB00177	Back pain	2.2	2.6	3.0	Valsartan
DB00177	Bronchitis	1.1	1.1	1.1	Valsartan
DB00177	Cough	2.5	2.6	2.7	Valsartan
DB00177	Diarrhoea	2.5	3.75	5.0	Valsartan
DB00177	Dizziness	2.0	7.266666666669999	17.0	Valsartan
DB00177	Dyspepsia	1.1	1.1	1.1	Valsartan
DB00177	Fatigue	1.9	2.36666666667	3.0	Valsartan
DB00177	Gastrointestinal pain	1.3	1.3	1.3	Valsartan
DB00177	Headache	8.5	8.5	8.5	Valsartan
DB00177	Hyperkalaemia	2.0	2.0	2.0	Valsartan
DB00177	Hypotension	1.4	3.46666666667	7.0	Valsartan
DB00177	Infection	3.3	3.3	3.3	Valsartan
DB00177	Infestation	3.3	3.3	3.3	Valsartan
DB00177	Infestation NOS	3.3	3.3	3.3	Valsartan
DB00177	Musculoskeletal discomfort	1.3	2.15	3.0	Valsartan
DB00177	Nausea	1.5	1.5	1.5	Valsartan
DB00177	Pharyngitis	1.3	1.3	1.3	Valsartan
DB00177	Rhinitis	1.8	1.8	1.8	Valsartan
DB00177	Sinusitis	1.5	1.5	1.5	Valsartan
DB00177	Upper respiratory tract infection	2.9	2.9	2.9	Valsartan
DB00177	Viral infection	3.1	3.2	3.3	Valsartan
DB00178	Acute coronary syndrome	1.7	1.7	1.7	Ramipril
DB00178	Angina pectoris	2.0	2.63333333333	3.0	Ramipril
DB00178	Arthritis	1.1	1.1	1.1	Ramipril
DB00178	Asthenia	2.0	2.85	3.7	Ramipril
DB00178	Cardiac failure	1.5	1.8	2.0	Ramipril
DB00178	Chest pain	1.1	1.55	2.0	Ramipril
DB00178	Cough	1.0	5.26666666667	8.0	Ramipril
DB00178	Cough increased	7.6	7.8	8.0	Ramipril
DB00178	Dermatitis	1.4	1.4	1.4	Ramipril
DB00178	Diarrhoea	1.0	1.05	1.1	Ramipril
DB00178	Dizziness	1.3	3.09230769231	5.6	Ramipril
DB00178	Dyspnoea	1.1	1.1	1.1	Ramipril
DB00178	Erectile dysfunction	1.5	1.5	1.5	Ramipril
DB00178	Headache	1.2	7.233333333330001	15.1	Ramipril
DB00178	Hypotension	1.9	6.65	11.0	Ramipril
DB00178	Kidney function abnormal	1.0	1.1	1.2	Ramipril
DB00178	Loss of consciousness	1.3	1.8	2.1	Ramipril
DB00178	Myocardial infarction	1.7	1.7	1.7	Ramipril
DB00178	Nausea	1.8	2.53333333333	3.8	Ramipril
DB00178	Oedema peripheral	1.8	1.8	1.8	Ramipril
DB00178	Orthostatic hypotension	2.0	2.1	2.2	Ramipril
DB00178	Rash	1.4	1.4	1.4	Ramipril
DB00178	Renal impairment	1.0	1.1	1.2	Ramipril
DB00178	Shock	1.3	1.8	2.1	Ramipril
DB00178	Somnolence	1.7	1.7	1.7	Ramipril
DB00178	Syncope	1.3	1.8	2.1	Ramipril
DB00178	Vertigo	2.0	3.8	5.6	Ramipril
DB00178	Vomiting	1.6	2.46666666667	3.8	Ramipril
DB00180	Accidental injury	3.5	3.6	3.7	Flunisolide
DB00180	Back pain	1.8	2.5	3.2	Flunisolide
DB00180	Body temperature increased	3.7	5.3	6.9	Flunisolide
DB00180	Cough	1.8	5.26666666667	8.5	Flunisolide
DB00180	Cough increased	1.8	5.26666666667	8.5	Flunisolide
DB00180	Dermatitis	1.8	2.7	3.7	Flunisolide
DB00180	Dyspepsia	2.1	2.9333333333300002	3.5	Flunisolide
DB00180	Epistaxis	3.2	3.2	3.2	Flunisolide
DB00180	Headache	8.8	10.5333333333	13.8	Flunisolide
DB00180	Hypersensitivity	4.2	4.4	4.6	Flunisolide
DB00180	Infection	3.7	3.7	3.7	Flunisolide
DB00180	Injury	3.5	3.6	3.7	Flunisolide
DB00180	Pain	1.8	3.0	4.6	Flunisolide
DB00180	Pharyngitis	16.6	16.9666666667	17.5	Flunisolide
DB00180	Rash	1.8	2.7	3.7	Flunisolide
DB00180	Rhinitis	3.5	9.4	15.7	Flunisolide
DB00180	Sinusitis	4.1	6.766666666669999	8.8	Flunisolide
DB00180	Urinary tract infection	1.1	2.3	3.5	Flunisolide
DB00180	Vomiting	4.2	4.4	4.6	Flunisolide
DB00181	Accidental injury	3.5	3.5	3.5	Baclofen
DB00181	Agitation	1.3	1.315	1.33	Baclofen
DB00181	Asthenia	1.0	5.1	15.0	Baclofen
DB00181	Back pain	2.0	2.0	2.0	Baclofen
DB00181	Chills	1.3	1.315	1.33	Baclofen
DB00181	Coma	1.3	2.226	4.0	Baclofen
DB00181	Confusional state	2.3	2.3	2.3	Baclofen
DB00181	Constipation	1.3	3.74428571429	10.0	Baclofen
DB00181	Convulsion	1.0	4.82125	11.0	Baclofen
DB00181	Depression	1.6	1.6	1.6	Baclofen
DB00181	Diarrhoea	2.0	2.15	2.3	Baclofen
DB00181	Dizziness	1.7	5.1184	12.0	Baclofen
DB00181	Drowsiness	11.0	14.0	18.0	Baclofen
DB00181	Dry mouth	1.3	1.97666666667	3.3	Baclofen
DB00181	Dysarthria	1.0	3.5	6.0	Baclofen
DB00181	Dyspnoea	1.0	1.4	2.0	Baclofen
DB00181	Dysuria	2.0	2.0	2.0	Baclofen
DB00181	Erectile dysfunction	1.6	1.6	1.6	Baclofen
DB00181	Feeling abnormal	2.3	2.3	2.3	Baclofen
DB00181	Headache	1.6	6.79	10.7	Baclofen
DB00181	Hypertension	1.0	1.5	2.0	Baclofen
DB00181	Hypertonia	6.0	6.0	6.0	Baclofen
DB00181	Hypoaesthesia	1.0	3.66666666667	8.0	Baclofen
DB00181	Hypotension	1.0	3.54285714286	10.0	Baclofen
DB00181	Hypotonia	2.0	13.833636363599998	34.7	Baclofen
DB00181	Hypoventilation	1.3	1.92166666667	4.0	Baclofen
DB00181	Hypoxia	1.3	1.92166666667	4.0	Baclofen
DB00181	Injury	3.5	3.5	3.5	Baclofen
DB00181	Insomnia	1.6	5.8	10.0	Baclofen
DB00181	Lethargy	1.0	2.5	4.0	Baclofen
DB00181	Lightheadedness	5.0	7.666666666669999	12.0	Baclofen
DB00181	Mental disability	1.3	1.305	1.31	Baclofen
DB00181	Muscle relaxant therapy	2.0	13.833636363599998	34.7	Baclofen
DB00181	Nausea	1.4	4.985	10.5	Baclofen
DB00181	Numbness	1.0	3.66666666667	8.0	Baclofen
DB00181	Oedema peripheral	2.3	2.97666666667	3.33	Baclofen
DB00181	Pain	3.0	3.5	4.0	Baclofen
DB00181	Paraesthesia	1.0	3.19176470588	8.0	Baclofen
DB00181	Pneumonia	1.2	1.6	2.0	Baclofen
DB00181	Pollakiuria	10.0	10.0	10.0	Baclofen
DB00181	Pruritus	1.0	3.75	8.0	Baclofen
DB00181	Respiratory failure	1.3	1.92166666667	4.0	Baclofen
DB00181	Salivary hypersecretion	2.6	2.645	2.7	Baclofen
DB00181	Sensory loss	1.0	3.66666666667	8.0	Baclofen
DB00181	Slurred speech	1.0	3.5	6.0	Baclofen
DB00181	Somnolence	5.7	12.1028571429	20.9	Baclofen
DB00181	Speech disorder	3.5	3.5	3.5	Baclofen
DB00181	Thinking abnormal	1.3	1.305	1.31	Baclofen
DB00181	Tingling sensation	1.0	3.66666666667	8.0	Baclofen
DB00181	Tremor	1.3	1.315	1.33	Baclofen
DB00181	Urinary incontinence	1.4	1.7	2.0	Baclofen
DB00181	Urinary retention	1.7	4.928	8.0	Baclofen
DB00181	Urination impaired	2.0	2.0	2.0	Baclofen
DB00181	Urticaria	1.2	1.2	1.2	Baclofen
DB00181	Vision blurred	2.0	3.5	5.0	Baclofen
DB00181	Vomiting	1.6	6.07857142857	10.5	Baclofen
DB00184	Abdominal pain	3.0	3.0	3.0	Nicotine
DB00184	Acne	1.2	2.1	3.0	Nicotine
DB00184	Arthralgia	5.0	5.0	5.0	Nicotine
DB00184	Back pain	6.0	6.0	6.0	Nicotine
DB00184	Confusional state	3.0	3.0	3.0	Nicotine
DB00184	Dermatitis	1.9	1.9	1.9	Nicotine
DB00184	Diarrhoea	1.9	1.9	1.9	Nicotine
DB00184	Dysgeusia	1.9	1.9	1.9	Nicotine
DB00184	Dysmenorrhoea	3.0	3.0	3.0	Nicotine
DB00184	Dyspepsia	1.2	1.2	1.2	Nicotine
DB00184	Dyspnoea	5.0	5.0	5.0	Nicotine
DB00184	Feeling abnormal	3.0	3.0	3.0	Nicotine
DB00184	Flatulence	2.7	3.35	4.0	Nicotine
DB00184	Gastrointestinal pain	3.0	3.0	3.0	Nicotine
DB00184	Headache	3.3	8.9	18.0	Nicotine
DB00184	Heartburn	1.2	1.2	1.2	Nicotine
DB00184	Menstrual disorder	4.0	4.0	4.0	Nicotine
DB00184	Mouth ulceration	1.6	1.6	1.6	Nicotine
DB00184	Musculoskeletal discomfort	3.0	3.7	5.0	Nicotine
DB00184	Myalgia	3.0	3.05	3.1	Nicotine
DB00184	Nausea	2.4	3.63333333333	5.0	Nicotine
DB00184	Oedema	1.9	1.9	1.9	Nicotine
DB00184	Pain	2.1	2.1	2.1	Nicotine
DB00184	Palpitations	4.0	4.0	4.0	Nicotine
DB00184	Paraesthesia	1.9	1.9	1.9	Nicotine
DB00184	Pruritus	1.9	1.95	2.0	Nicotine
DB00184	Rash	1.9	1.9	1.9	Nicotine
DB00184	Stomatitis	1.6	1.6	1.6	Nicotine
DB00184	Tingling sensation	1.9	1.9	1.9	Nicotine
DB00184	Tongue disorder	1.2	1.2	1.2	Nicotine
DB00184	Tooth disorder	4.0	4.0	4.0	Nicotine
DB00184	Vertigo	3.1	3.1	3.1	Nicotine
DB00186	Apnoea	1.18	1.215	1.25	Lorazepam
DB00186	Asthenia	4.2	4.2	4.2	Lorazepam
DB00186	Balance disorder	3.4	3.4	3.4	Lorazepam
DB00186	Coma	1.18	1.215	1.25	Lorazepam
DB00186	Depressed level of consciousness	1.18	1.18	1.18	Lorazepam
DB00186	Dizziness	6.9	6.9	6.9	Lorazepam
DB00186	Headache	1.18	1.215	1.25	Lorazepam
DB00186	Hypochromic anaemia	1.25	1.25	1.25	Lorazepam
DB00186	Hypotension	1.54	1.945	2.35	Lorazepam
DB00186	Hypoventilation	1.18	1.84	2.5	Lorazepam
DB00186	Hypoxia	1.18	1.84	2.5	Lorazepam
DB00186	Leukocytosis	1.25	1.25	1.25	Lorazepam
DB00186	Respiratory failure	1.18	1.745	2.5	Lorazepam
DB00186	Somnolence	1.54	2.94	3.75	Lorazepam
DB00186	Stupor	1.18	1.18	1.18	Lorazepam
DB00186	Thrombocytosis	1.25	1.25	1.25	Lorazepam
DB00186	Unsteadiness	3.4	3.4	3.4	Lorazepam
DB00187	Abdominal discomfort	1.0	1.0	1.0	Esmolol
DB00187	Asthenia	1.0	1.0	1.0	Esmolol
DB00187	Body temperature increased	1.0	1.0	1.0	Esmolol
DB00187	Convulsion	1.0	1.0	1.0	Esmolol
DB00187	Dizziness	1.0	2.33333333333	3.0	Esmolol
DB00187	Drowsiness	1.0	1.0	1.0	Esmolol
DB00187	Dyspnoea	1.0	1.0	1.0	Esmolol
DB00187	Fatigue	1.0	1.0	1.0	Esmolol
DB00187	Flushing	1.0	1.0	1.0	Esmolol
DB00187	Headache	3.0	3.0	3.0	Esmolol
DB00187	Hyperhidrosis	9.0	9.0	9.0	Esmolol
DB00187	Hypotension	12.0	18.5	25.0	Esmolol
DB00187	Hypotension asymptomatic	25.0	25.0	25.0	Esmolol
DB00187	Hypotension symptomatic	12.0	12.0	12.0	Esmolol
DB00187	Induration	2.0	2.0	2.0	Esmolol
DB00187	Inflammation	2.0	2.0	2.0	Esmolol
DB00187	Lightheadedness	1.0	1.0	1.0	Esmolol
DB00187	Mental disability	1.0	1.0	1.0	Esmolol
DB00187	Nausea	6.0	6.0	6.0	Esmolol
DB00187	Peripheral ischaemia	1.0	1.0	1.0	Esmolol
DB00187	Pleuritic pain	1.0	1.0	1.0	Esmolol
DB00187	Somnolence	1.0	2.33333333333	3.0	Esmolol
DB00187	Sweating increased	9.0	9.0	9.0	Esmolol
DB00187	Thinking abnormal	1.0	1.0	1.0	Esmolol
DB00187	Urinary retention	1.0	1.0	1.0	Esmolol
DB00187	Vomiting	1.0	1.0	1.0	Esmolol
DB00188	Abdominal pain	1.81	8.25727272727	16.0	Bortezomib
DB00188	Acute febrile neutrophilic dermatosis	1.0	1.0	1.0	Bortezomib
DB00188	Anaemia	2.58	20.68125	37.0	Bortezomib
DB00188	Angina pectoris	1.0	1.0	1.0	Bortezomib
DB00188	Anorexia	2.72	16.715	33.8	Bortezomib
DB00188	Anxiety	4.52	10.724	14.0	Bortezomib
DB00188	Arrhythmia	1.0	1.0	1.0	Bortezomib
DB00188	Arthralgia	1.29	10.0563636364	26.3	Bortezomib
DB00188	Asthenia	2.0	21.5	41.0	Bortezomib
DB00188	Asthenic conditions	3.0	37.668	72.3	Bortezomib
DB00188	Back pain	1.2	8.073	14.9	Bortezomib
DB00188	Body temperature increased	1.2	16.706666666700002	36.8	Bortezomib
DB00188	Bone pain	1.94	8.46545454545	16.2	Bortezomib
DB00188	Chills	2.41	8.47	11.8	Bortezomib
DB00188	Constipation	1.2	25.127777777800002	49.7	Bortezomib
DB00188	Convulsion	1.0	1.0	1.0	Bortezomib
DB00188	Cough	10.5	18.428571428599998	21.1	Bortezomib
DB00188	Cramp muscle	4.52	13.145714285699999	24.0	Bortezomib
DB00188	Deafness	1.0	1.0	1.0	Bortezomib
DB00188	Decreased appetite	2.48	19.8292857143	43.4	Bortezomib
DB00188	Dehydration	3.27	7.71222222222	18.4	Bortezomib
DB00188	Dermatitis	1.21	13.96375	27.7	Bortezomib
DB00188	Diarrhoea	1.81	24.9028571429	57.4	Bortezomib
DB00188	Diplopia	1.0	1.0	1.0	Bortezomib
DB00188	Disseminated intravascular coagulation	1.0	1.0	1.0	Bortezomib
DB00188	Dizziness	1.29	10.809000000000001	23.2	Bortezomib
DB00188	Dysaesthesia	1.29	12.6858333333	27.5	Bortezomib
DB00188	Dysgeusia	12.7	12.85	13.0	Bortezomib
DB00188	Dyspepsia	13.2	13.2	13.2	Bortezomib
DB00188	Dyspnoea	2.71	12.388333333299999	22.6	Bortezomib
DB00188	Edema of lower extremities	10.6	11.8	13.0	Bortezomib
DB00188	Ejection fraction decreased	1.0	1.0	1.0	Bortezomib
DB00188	Encephalopathy	1.0	1.0	1.0	Bortezomib
DB00188	Enteritis	1.0	1.0	1.0	Bortezomib
DB00188	Epistaxis	10.0	10.0	10.0	Bortezomib
DB00188	Fatigue	2.0	26.75	41.0	Bortezomib
DB00188	Febrile neutropenia	1.0	1.0	1.0	Bortezomib
DB00188	Gastrointestinal pain	1.81	8.25727272727	16.0	Bortezomib
DB00188	Haemoglobin	1.0	1.0	1.0	Bortezomib
DB00188	Haemorrhage	1.0	1.0	1.0	Bortezomib
DB00188	Headache	1.46	14.8955555556	27.6	Bortezomib
DB00188	Hearing impaired	1.0	1.0	1.0	Bortezomib
DB00188	Hepatic failure	1.0	1.0	1.0	Bortezomib
DB00188	Herpes zoster	1.2	7.013	13.0	Bortezomib
DB00188	Hyperbilirubinaemia	1.0	1.0	1.0	Bortezomib
