,Drug name,Name,Smiles
10,DB00115,Cyanocobalamin,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2
11,DB00117,Histidine,N[C@@H](CC1=CNC=N1)C(O)=O
12,DB00118,Ademetionine,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
13,DB00119,Pyruvic acid,CC(=O)C(O)=O
14,DB00120,L-Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O
15,DB00121,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
16,DB00122,Choline,C[N+](C)(C)CCO
17,DB00123,L-Lysine,NCCCC[C@H](N)C(O)=O
18,DB00125,L-Arginine,N[C@@H](CCCNC(N)=N)C(O)=O
19,DB00126,Vitamin C,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
20,DB00127,Spermine,NCCCNCCCCNCCCN
21,DB00128,L-Aspartic Acid,N[C@@H](CC(O)=O)C(O)=O
22,DB00129,Ornithine,NCCC[C@H](N)C(O)=O
23,DB00130,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O
24,DB00131,Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
25,DB00132,Alpha-Linolenic Acid,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
26,DB00133,Serine,N[C@@H](CO)C(O)=O
27,DB00134,Methionine,CSCC[C@H](N)C(O)=O
28,DB00135,L-Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
29,DB00136,Calcitriol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
30,DB00138,Cystine,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
31,DB00139,Succinic acid,OC(=O)CCC(O)=O
32,DB00140,Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
33,DB00141,N-Acetylglucosamine,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
34,DB00142,Glutamic Acid,N[C@@H](CCC(O)=O)C(O)=O
35,DB00143,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
36,DB00144,Phosphatidyl serine,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O
37,DB00145,Glycine,NCC(O)=O
38,DB00146,Calcidiol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
39,DB00147,Pyridoxal,CC1=NC=C(CO)C(C=O)=C1O
40,DB00148,Creatine,CN(CC(O)=O)C(N)=N
41,DB00149,L-Leucine,CC(C)C[C@H](N)C(O)=O
42,DB00150,L-Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
43,DB00151,L-Cysteine,N[C@@H](CS)C(O)=O
44,DB00152,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
45,DB00153,Ergocalciferol,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
46,DB00154,Dihomo-gamma-linolenic acid,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
47,DB00155,L-Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O
48,DB00156,L-Threonine,C[C@@H](O)[C@H](N)C(O)=O
49,DB00157,NADH,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
50,DB00158,Folic Acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
51,DB00159,Icosapent,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
52,DB00160,L-Alanine,C[C@H](N)C(O)=O
53,DB00161,L-Valine,CC(C)[C@H](N)C(O)=O
54,DB00162,Vitamin A,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
55,DB00163,Vitamin E,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
56,DB00165,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1
57,DB00166,Lipoic Acid,OC(=O)CCCC[C@@H]1CCSS1
58,DB00167,L-Isoleucine,CC[C@H](C)[C@H](N)C(O)=O
59,DB00168,Aspartame,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
60,DB00169,Cholecalciferol,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
61,DB00170,Menadione,CC1=CC(=O)C2=CC=CC=C2C1=O
62,DB00172,L-Proline,OC(=O)[C@@H]1CCCN1
63,DB00173,Adenine,NC1=C2NC=NC2=NC=N1
64,DB00174,L-Asparagine,N[C@@H](CC(N)=O)C(O)=O
65,DB00175,Pravastatin,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
66,DB00176,Fluvoxamine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
67,DB00177,Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
68,DB00178,Ramipril,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
69,DB00179,Masoprocol,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
70,DB00180,Flunisolide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
71,DB00181,Baclofen,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
72,DB00182,Amphetamine,CC(N)CC1=CC=CC=C1
73,DB00183,Pentagastrin,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
74,DB00184,Nicotine,CN1CCC[C@H]1C1=CN=CC=C1
75,DB00185,Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1
76,DB00186,Lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
77,DB00187,Esmolol,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
78,DB00188,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
79,DB00189,Ethchlorvynol,CCC(O)(\C=C\Cl)C#C
80,DB00190,Carbidopa,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
81,DB00191,Phentermine,CC(C)(N)CC1=CC=CC=C1
82,DB00192,Indecainide,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
83,DB00193,Tramadol,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
84,DB00194,Vidarabine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
85,DB00195,Betaxolol,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
86,DB00196,Fluconazole,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
87,DB00198,Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
88,DB00199,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
89,DB00200,Hydroxocobalamin,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
90,DB00201,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
91,DB00202,Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
92,DB00203,Sildenafil,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
93,DB00204,Dofetilide,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
94,DB00205,Pyrimethamine,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
95,DB00206,Reserpine,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
96,DB00207,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
97,DB00208,Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
98,DB00209,Trospium,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
99,DB00210,Adapalene,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
100,DB00211,Midodrine,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
101,DB00212,Remikiren,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1
102,DB00213,Pantoprazole,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
103,DB00214,Torasemide,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
104,DB00215,Citalopram,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
105,DB00216,Eletriptan,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
106,DB00217,Bethanidine,CN\C(NCC1=CC=CC=C1)=N/C
107,DB00218,Moxifloxacin,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
108,DB00219,Oxyphenonium,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
109,DB00220,Nelfinavir,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
110,DB00221,Isoetarine,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
111,DB00222,Glimepiride,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
112,DB00223,Diflorasone,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
113,DB00224,Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
114,DB00226,Guanadrel,NC(N)=NCC1COC2(CCCCC2)O1
115,DB00227,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
116,DB00228,Enflurane,FC(F)OC(F)(F)C(F)Cl
117,DB00229,Cefotiam,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
118,DB00230,Pregabalin,CC(C)C[C@H](CN)CC(O)=O
119,DB00231,Temazepam,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
120,DB00232,Methyclothiazide,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
121,DB00233,Aminosalicylic Acid,NC1=CC(O)=C(C=C1)C(O)=O
122,DB00234,Reboxetine,[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1
123,DB00235,Milrinone,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
124,DB00236,Pipobroman,BrCCC(=O)N1CCN(CC1)C(=O)CCBr
125,DB00237,Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
126,DB00238,Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
127,DB00239,Oxiconazole,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
128,DB00240,Alclometasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
129,DB00241,Butalbital,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
130,DB00242,Cladribine,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
131,DB00243,Ranolazine,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
132,DB00244,Mesalazine,NC1=CC(C(O)=O)=C(O)C=C1
133,DB00245,Benzatropine,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
134,DB00246,Ziprasidone,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
135,DB00247,Methysergide,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
136,DB00248,Cabergoline,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
137,DB00249,Idoxuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
138,DB00250,Dapsone,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
139,DB00251,Terconazole,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
140,DB00252,Phenytoin,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
141,DB00253,Medrysone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
142,DB00254,Doxycycline,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
143,DB00255,Diethylstilbestrol,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
144,DB00256,Lymecycline,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C
145,DB00257,Clotrimazole,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
146,DB00258,Calcium Acetate,[Ca++].CC([O-])=O.CC([O-])=O
147,DB00259,Sulfanilamide,NC1=CC=C(C=C1)S(N)(=O)=O
148,DB00260,Cycloserine,N[C@@H]1CONC1=O
149,DB00261,Anagrelide,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
150,DB00262,Carmustine,ClCCNC(=O)N(CCCl)N=O
151,DB00263,Sulfisoxazole,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
152,DB00264,Metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
153,DB00266,Dicoumarol,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
154,DB00267,Cefmenoxime,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
155,DB00268,Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
156,DB00270,Isradipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
157,DB00272,Betazole,NCCC1=CC=NN1
158,DB00273,Topiramate,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
159,DB00274,Cefmetazole,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O
160,DB00275,Olmesartan,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O
161,DB00276,Amsacrine,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
162,DB00277,Theophylline,CN1C2=C(NC=N2)C(=O)N(C)C1=O
163,DB00278,Argatroban,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
164,DB00279,Liothyronine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
165,DB00280,Disopyramide,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C
166,DB00281,Lidocaine,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
167,DB00282,Pamidronate,NCCC(O)(P(O)(O)=O)P(O)(O)=O
168,DB00283,Clemastine,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
169,DB00284,Acarbose,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
170,DB00285,Venlafaxine,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
171,DB00287,Travoprost,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F
172,DB00288,Amcinonide,[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
173,DB00289,Atomoxetine,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
174,DB00290,Bleomycin,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O
175,DB00291,Chlorambucil,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
176,DB00292,Etomidate,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
177,DB00293,Raltitrexed,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
178,DB00294,Etonogestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
179,DB00295,Morphine,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
180,DB00296,Ropivacaine,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C
181,DB00297,Bupivacaine,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
182,DB00298,Dapiprazole,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1
183,DB00299,Penciclovir,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2
184,DB00300,Tenofovir disoproxil,[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C
185,DB00301,Flucloxacillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O
186,DB00302,Tranexamic Acid,NC[C@H]1CC[C@@H](CC1)C(O)=O
187,DB00303,Ertapenem,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
