orig_food_common_name,orig_source_name,orig_content,cas_number
Acorn stew (Apache),Aspartic acid,830.0,N[C@@H](CC(O)=O)C(O)=O
Adobo fresco,"Sodium, Na",17152.0,[Na]
Adobo fresco,"Sugars, total",2030.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Adobo fresco,"Vitamin A, IU",219.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Adzuki Bean,GLUTAMIC-ACID,3339.6,N[C@@H](CCC(O)=O)C(O)=O
Adzuki Bean,ASPARTIC-ACID,2537.85,N[C@@H](CC(O)=O)C(O)=O
Adzuki Bean,LEUCINE,1797.5,CC(C)CC(N)C(O)=O
Aestivalis grape [Black],Cyanidin 3-O-glucoside,18.719999313,OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O
Aestivalis grape [Black],Delphinidin 3-O-glucoside,16.61000061,OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O
Aestivalis grape [Black],Malvidin 3-O-glucoside,6.9499998089999995,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
Agave,"Sugars, total",50700.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Agave,Fructose,42830.0,OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O
Agutuk,"Vitamin A, IU",696.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Ajonjoli (Sp.),LINOLEIC-ACID,20122.0,[H]\C(CCCCC)=C(/[H])C\C([H])=C(/[H])CCCCCCCC(O)=O
Ajonjoli (Sp.),OLEIC-ACID,19967.2,CCCCCCCC\C=C\CCCCCCCC(O)=O
Ajonjoli (Sp.),CEPHALIN,18351.2,[H][C@@](CO\C=C/CCCCCCCC\C=C/CCCCCC)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC
Alcoholic Beverage,"Alcohol, ethyl",11200.0,CCO
Alcoholic Beverage,"Sugars, total",620.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Alcoholic Beverage,"Potassium, K",127.0,[K+]
Alcoholic beverage,"Sugars, total",41600.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Alcoholic beverage,"Alcohol, ethyl",37900.0,CCO
Alcoholic beverage,"Phosphorus, P",4.0,P
Alfalfa seeds,Leucine,270.0,CC(C)CC(N)C(O)=O
Alfalfa seeds,"C18:2, n-6",234.0,[H]\C(CCCCC)=C(/[H])C\C([H])=C(/[H])CCCCCCCC(O)=O
Alfalfa seeds,Lysine,210.0,NCCCC[C@H](N)C(O)=O
Alholva (Sp.),LIGNIN,28000.0,[Na+].[Na+].CC(=O)NC1=C2C(=O)C(=NNC3=CC=CC=C3)C(=CC2=C(C=C1)S([O-])(=O)=O)S([O-])(=O)=O
Alholva (Sp.),GLUTAMIC-ACID,4187.5,N[C@@H](CCC(O)=O)C(O)=O
Alholva (Sp.),ASPARTIC-ACID,2650.5,N[C@@H](CC(O)=O)C(O)=O
Allspice,EO,3500.0,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
Allspice,EUGENOL,2150.0,COC1=C(O)C=CC(CC=C)=C1
Allspice,EUGENOL-METHYL-ETHER|METHYL-EUGENOL,1525.0,COC1=C(OC)C=C(CC=C)C=C1
Almond,OLEIC-ACID,34041.35,CCCCCCCC\C=C\CCCCCCCC(O)=O
Almond,"C18:1, n-9",26700.0,CCCCCCCC\C=C\CCCCCCCC(O)=O
Almond,LINOLEIC-ACID,10736.4,[H]\C(CCCCC)=C(/[H])C\C([H])=C(/[H])CCCCCCCC(O)=O
Amaranth,Starch,57270.0,OCC1OC(O)C(O)C(O)C1O
Amaranth,Glutamic acid,2259.0,N[C@@H](CCC(O)=O)C(O)=O
Amaranth,"Sugars, total",1690.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Amaranth grain,Starch,16230.0,OCC1OC(O)C(O)C(O)C1O
Amaranth grain,"Phosphorus, P",148.0,P
Amaranth grain,"Potassium, K",135.0,[K+]
Amaranth leaves,"Vitamin A, IU",2917.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Amaranth leaves,"Potassium, K",641.0,[K+]
Amaranth leaves,"Sodium, Na",257.0,[Na]
American Cranberry,POTASSIUM,351.35,[K+]
American Cranberry,NITROGEN,282.5,N#N
American Cranberry,CALCIUM,61.35,[Ca++]
American Persimmon,POTASSIUM,1175.0,[K+]
American Persimmon,CALCIUM,1023.0,[Ca++]
American cranberry,Benzoic acid,474.100006104,OC(=O)C1=CC=CC=C1
American cranberry,p-Coumaric acid,25.380001068000002,OC(=O)\C=C\C1=CC=C(O)C=C1
American cranberry,Peonidin 3-O-galactoside,22.026014328000002,[H][C@]1(CO)O[C@@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
Anchovy,"Carbohydrates, added sugar (sucrose)",10000.0,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
Anchovy,"Sugars, total",10000.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Anchovy,Sodium (Na),3606.0,[Na]
Angelica,Quercetin,41.528571589,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
Angelica,Luteolin,27.014285905,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=C(O)C(O)=C1
Animal fat,12:0,199.0,CCCCCCCCCCCC(O)=O
Animal fat,"Sodium, Na",150.0,[Na]
Animal fat,Vitamin D,101.0,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)C
Anise,ESTRAGOLE,81500.0,COC1=CC=C(CC=C)C=C1
Anise,PETROSELINIC-ACID,48900.0,CCCCCCCCCCC\C=C/CCCCC(O)=O
Anise,OLEIC-ACID,21700.0,CCCCCCCC\C=C\CCCCCCCC(O)=O
Anise herb,Ferulic acid,1.200000048,[H]\C(=C(/[H])C1=CC(OC)=C(O)C=C1)C(O)=O
Anise herb,Gallic acid,1.100000024,OC(=O)C1=CC(O)=C(O)C(O)=C1
Anise herb,Caffeic acid,0.800000012,OC(=O)\C=C\C1=CC(O)=C(O)C=C1
Apple,"Sugars, total",41000.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Apple,SUCROSE|SUGAR,9500.0,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
Apple,FRUCTOSE,5545.0,OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O
Apple [Cider],Procyanidin dimer B2,19.601463574,[H][C@]1([C@@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C(O)C=C(O)C2=C1O[C@@H]([C@H](O)C2)C1=CC(O)=C(O)C=C1
Apple [Cider],Procyanidin dimer B1,6.419999695,O[C@H]1CC2=C(O)C=C(O)C([C@@H]3[C@@H](O)[C@H](OC4=CC(O)=CC(O)=C34)C3=CC=C(O)C(O)=C3)=C2O[C@@H]1C1=CC=C(O)C(O)=C1
Apple [Cider],4-p-Coumaroylquinic acid,5.079722156,O[C@@H]1CC(O)(C(=O)O)C[C@@H](O)C1OC(=O)\C=C\C1=CC=C(O)C=C1
Apple [Dessert],Procyanidin trimer C1,29.965000153000002,[H][C@]1([C@@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C2O[C@@H]([C@H](O)[C@@]([H])(C3=C(O)C=C(O)C4=C3O[C@@H]([C@H](O)C4)C3=CC(O)=C(O)C=C3)C2=C(O)C=C1O)C1=CC(O)=C(O)C=C1
Apple [Dessert],Procyanidin dimer B2,14.561438472999999,[H][C@]1([C@@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C(O)C=C(O)C2=C1O[C@@H]([C@H](O)C2)C1=CC(O)=C(O)C=C1
Apple [Dessert],Quercetin,2.46689655,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
Apple cider-flavored drink,"Vitamin C, total ascorbic acid",25.0,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
Apple cider-flavored drink,"Sodium, Na",14.0,[Na]
Apple cider-flavored drink,"Phosphorus, P",12.0,P
Apple jelly,"Sugars, total",59000.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Apple jelly,"Carbohydrates, added sugar (sucrose)",56000.0,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
Apple jelly,"C18:2, n-6",227.0,[H]\C(CCCCC)=C(/[H])C\C([H])=C(/[H])CCCCCCCC(O)=O
Apple juice,"Sugars, total",10200.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Apple juice,Fructose,5730.0,OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O
Apple juice,Potassium (K),80.0,[K+]
Apples,"Sugars, total",81130.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Applesauce,"Sugars, total",14670.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Applesauce,Fructose,7270.0,OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O
Applesauce,Glucose (dextrose),2300.0,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O
Apricot,"Sugars, total",41900.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Apricot,OLEIC-ACID,32960.0,CCCCCCCC\C=C\CCCCCCCC(O)=O
Apricot,Sucrose,29300.0,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
Apricot nectar,"Sugars, total",13790.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Apricot nectar,"Vitamin A, IU",1316.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Apricot nectar,"Potassium, K",114.0,[K+]
Apricots,"Sugars, total",53440.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Apricots,Glucose (dextrose),33080.0,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O
Apricots,"Vitamin A, IU",2924.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Aquavit,Alcohol (ethanol),33300.0,CCO
Aquavit,Zinc (Zn),0.013999999999999999,[Zn]
Arabica coffee beverage [Filter],4-Caffeoylquinic acid,19.006002426,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1OC(=O)\C=C\C1=CC(O)=C(O)C=C1)C(O)=O
Arabica coffee beverage [Filter],4-Feruloylquinic acid,13.260000229000001,COC1=CC(\C=C\C(=O)O[C@H]2[C@H](O)C[C@@](O)(C[C@H]2O)C(O)=O)=CC=C1O
Arabica coffee beverage [Filter],5-Feruloylquinic acid,4.640999794,COC1=CC(\C=C\C(=O)O[C@@H]2C[C@@](O)(C[C@@H](O)[C@H]2O)C(O)=O)=CC=C1O
Arctic blackberry,Ellagic acid,17.149999619000003,OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2
Arctic blackberry,Quercetin,3.099999905,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
Arrowhead,"Potassium, K",922.0,[K+]
Arrowhead,"Sodium, Na",254.0,[Na]
Arrowhead,"Phosphorus, P",197.0,P
Arrowroot,STARCH,47250.0,OCC1OC(O)C(O)C(O)C1O
Arrowroot,SUGARS,4200.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Arrowroot,"Potassium, K",454.0,[K+]
Arrowroot flour,Glutamic acid,50.0,N[C@@H](CCC(O)=O)C(O)=O
Arrowroot flour,Aspartic acid,47.0,N[C@@H](CC(O)=O)C(O)=O
Arrowroot flour,"Calcium, Ca",40.0,[Ca++]
Artichoke,Potassium (K),404.0,[K+]
Artichoke,Phosphorus (P),72.3,P
Artichoke,Calcium (Ca),60.0,[Ca++]
Artichokes,"Sugars, total",990.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Artichokes,Sucrose,730.0,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
Artificial Blueberry Muffin Mix,"Sodium, Na",760.0,[Na]
Artificial Blueberry Muffin Mix,8:0,7.0,CCCCCCCC(O)=O
Artificial Blueberry Muffin Mix,10:0,5.0,CCCCCCCCCC(O)=O
Arugula,"Vitamin A, IU",2373.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Arugula,"Sugars, total",2050.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Arugula,"Potassium, K",369.0,[K+]
Ascidians (tunughnak) (Alaska Native),"Sodium, Na",656.0,[Na]
Ascidians (tunughnak) (Alaska Native),"Potassium, K",102.0,[K+]
Ascidians (tunughnak) (Alaska Native),"Calcium, Ca",47.0,[Ca++]
Asparagus,GLUTAMIC-ACID,3482.75,N[C@@H](CCC(O)=O)C(O)=O
Asparagus,POTASSIUM,2870.5,[K+]
Asparagus,ASPARTIC-ACID,2467.75,N[C@@H](CC(O)=O)C(O)=O
Asparagus Bean,ASPARTIC-ACID,3073.25,N[C@@H](CC(O)=O)C(O)=O
Asparagus Bean,LEUCINE,1949.8,CC(C)CC(N)C(O)=O
Asparagus Bean,ARGININE,1762.55,N[C@@H](CCCNC(N)=N)C(O)=O
Asparagus Pea,BETULINIC-ACID,5300.0,CC(=C)C1CCC2(CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12)C(O)=O
Asparagus Pea,GLUTAMIC-ACID,4192.45,N[C@@H](CCC(O)=O)C(O)=O
Asparagus Pea,ASPARTIC-ACID,3332.0,N[C@@H](CC(O)=O)C(O)=O
Aubergine,PECTIN,11000.0,O[C@H]1O[C@@H]([C@H](O[C@H]2O[C@@H]([C@H](O[C@H]3O[C@@H]([C@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H](O)[C@H]2O)C(O)=O)[C@H](O)[C@H]1O)C(O)=O
Aubergine,SUCROSE|SUGAR,2500.0,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
Aubergine,POTASSIUM,1631.0,[K+]
Aubergine (eggplant),"Sugars, total",2900.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Aubergine (eggplant),Fructose,1400.0,OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O
Aubergine (eggplant),Glucose,1400.0,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O
Avocado,OLEIC-ACID,35932.5,CCCCCCCC\C=C\CCCCCCCC(O)=O
Avocado,LINOLEIC-ACID,26489.0,[H]\C(CCCCC)=C(/[H])C\C([H])=C(/[H])CCCCCCCC(O)=O
Avocado,"C18:1, n-9",11300.0,CCCCCCCC\C=C\CCCCCCCC(O)=O
Avocados,"Sugars, total",2420.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Avocados,Glucose (dextrose),2170.0,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O
BITTER,Alcohol (ethanol),30000.0,CCO
BITTER,"Carbohydrates, added sugar (sucrose)",18000.0,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
BURGER KING,Starch,38100.0,OCC1OC(O)C(O)C(O)C1O
BUTCHER BOY MEATS,"Sugars, total",2490.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
BUTCHER BOY MEATS,"Sodium, Na",1162.0,[Na]
BUTCHER BOY MEATS,"Vitamin A, IU",297.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Baby food,Lactose,56700.0,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
Baby food,"Sugars, total",42000.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Baby food,"C18:2, n-6",4330.0,[H]\C(CCCCC)=C(/[H])C\C([H])=C(/[H])CCCCCCCC(O)=O
Babyfood,"Sugars, total",57400.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Babyfood,Starch,53230.0,OCC1OC(O)C(O)C(O)C1O
Babyfood,"Vitamin A, IU",11810.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Bacon,"C18:1, n-9",8600.0,CCCCCCCC\C=C\CCCCCCCC(O)=O
Bacon,Glutamic acid,2400.0,N[C@@H](CCC(O)=O)C(O)=O
Bacon,"Sodium, Na",1465.0,[Na]
Bacon and beef sticks,Glutamic acid,3383.0,N[C@@H](CCC(O)=O)C(O)=O
Bacon and beef sticks,Aspartic acid,2073.0,N[C@@H](CC(O)=O)C(O)=O
Bacon and beef sticks,Lysine,1824.0,NCCCC[C@H](N)C(O)=O
Bacon bits,"Sodium, Na",1770.0,[Na]
Bacon bits,"Phosphorus, P",217.0,P
Bacon bits,12:0,215.0,CCCCCCCCCCCC(O)=O
Bacon crisps,"C18:1, n-9",16500.0,CCCCCCCC\C=C\CCCCCCCC(O)=O
Bacon crisps,Glycine,13500.0,NCC(O)=O
Bacon crisps,Proline,8000.0,OC(=O)[C@@H]1CCCN1
Bagel,"Sugars, total",6120.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Bagel,"Sodium, Na",439.0,[Na]
Bagel,"Potassium, K",165.0,[K+]
Bagels,Starch,48700.0,OCC1OC(O)C(O)C(O)C1O
Bagels,"Sugars, total",6430.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Bagels,Glutamic acid,3504.0,N[C@@H](CCC(O)=O)C(O)=O
Baguette,Starch (dextrins and glycogen),49000.0,OCC1OC(O)C(O)C(O)C1O
Baguette,"C18:1, n-9",920.0,CCCCCCCC\C=C\CCCCCCCC(O)=O
Baked beans,"Sugars, total",7780.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Baked beans,"Potassium, K",296.0,[K+]
Baked beans,"Vitamin A, IU",106.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Baking chocolate,"Sugars, total",69400.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Baking chocolate,12:0,9450.0,CCCCCCCCCCCC(O)=O
Baking chocolate,Glutamic acid,1870.0,N[C@@H](CCC(O)=O)C(O)=O
Baking powder,Starch (dextrins and glycogen),37800.0,OCC1OC(O)C(O)C(O)C1O
Baking powder,Sodium (Na),11800.0,[Na]
Baking powder,Calcium (Ca),11300.0,[Ca++]
Balm,ROSMARINIC-ACID,2270.0,[H]\C(=C(\[H])C1=CC(O)=C(O)C=C1)C(=O)OC(CC1=CC(O)=C(O)C=C1)C(O)=O
Balm,TRANS-OCIMENE,1252.8,CC(C)=CC\C=C(/C)C=C
Balm,CITRONELLAL,145.05,CC(CCC=C(C)C)CC=O
Balsam-pear (bitter gourd),"Vitamin A, IU",2416.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Balsam-pear (bitter gourd),"Sugars, total",1950.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Bamboo shoots,"Sugars, total",3000.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Bamboo shoots,Sodium (Na),600.0,[Na]
Bamboo shoots,"Potassium, K",533.0,[K+]
Banana,"Sugars, total",15900.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Banana,Sucrose,6300.0,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
Banana,Glucose,5800.0,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O
Bananas,"Sugars, total",47300.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Bananas,Starch,5380.0,OCC1OC(O)C(O)C(O)C1O
Barbecue loaf,Glutamic acid,2522.0,N[C@@H](CCC(O)=O)C(O)=O
Barbecue loaf,Aspartic acid,1399.0,N[C@@H](CC(O)=O)C(O)=O
Barbecue loaf,"Sodium, Na",1334.0,[Na]
Barley,CELLULOSE,25600.0,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
Barley,LIGNIN,4600.0,[Na+].[Na+].CC(=O)NC1=C2C(=O)C(=NNC3=CC=CC=C3)C(=CC2=C(C=C1)S([O-])(=O)=O)S([O-])(=O)=O
Barley,GLUTAMIC-ACID,3500.0,N[C@@H](CCC(O)=O)C(O)=O
Barley flour,Starch (dextrins and glycogen),56000.0,OCC1OC(O)C(O)C(O)C1O
Barley flour,"Sugars, total",15800.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Barley flour,Glutamic acid,2400.0,N[C@@H](CCC(O)=O)C(O)=O
Barley flour or meal,Glutamic acid,2741.0,N[C@@H](CCC(O)=O)C(O)=O
Barley flour or meal,Proline,1247.0,OC(=O)[C@@H]1CCCN1
Barley flour or meal,"Sugars, total",800.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Barley groats,Starch (dextrins and glycogen),62200.0,OCC1OC(O)C(O)C(O)C1O
Barley groats,Glutamic acid,2400.0,N[C@@H](CCC(O)=O)C(O)=O
