Name,Drug name,Smiles
Erythromycin,DB00199,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
Hydroxocobalamin,DB00200,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
Caffeine,DB00201,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
Succinylcholine,DB00202,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
Sildenafil,DB00203,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
Dofetilide,DB00204,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
Pyrimethamine,DB00205,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
Reserpine,DB00206,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
Azithromycin,DB00207,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Ticlopidine,DB00208,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
Trospium,DB00209,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
Adapalene,DB00210,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
Midodrine,DB00211,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
Remikiren,DB00212,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1
Pantoprazole,DB00213,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
Torasemide,DB00214,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
Citalopram,DB00215,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
Eletriptan,DB00216,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
Bethanidine,DB00217,CN\C(NCC1=CC=CC=C1)=N/C
Moxifloxacin,DB00218,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
Oxyphenonium,DB00219,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
Nelfinavir,DB00220,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
Isoetarine,DB00221,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
Glimepiride,DB00222,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
Diflorasone,DB00223,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
Indinavir,DB00224,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
Guanadrel,DB00226,NC(N)=NCC1COC2(CCCCC2)O1
Lovastatin,DB00227,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
Enflurane,DB00228,FC(F)OC(F)(F)C(F)Cl
Cefotiam,DB00229,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
Pregabalin,DB00230,CC(C)C[C@H](CN)CC(O)=O
Temazepam,DB00231,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
Methyclothiazide,DB00232,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
Aminosalicylic Acid,DB00233,NC1=CC(O)=C(C=C1)C(O)=O
Reboxetine,DB00234,[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1
Milrinone,DB00235,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
Pipobroman,DB00236,BrCCC(=O)N1CCN(CC1)C(=O)CCBr
Butabarbital,DB00237,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
Nevirapine,DB00238,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
Oxiconazole,DB00239,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
Alclometasone,DB00240,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
Butalbital,DB00241,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
Cladribine,DB00242,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
Ranolazine,DB00243,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
Mesalazine,DB00244,NC1=CC(C(O)=O)=C(O)C=C1
Benzatropine,DB00245,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
Ziprasidone,DB00246,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
Methysergide,DB00247,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
Cabergoline,DB00248,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
Idoxuridine,DB00249,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
Dapsone,DB00250,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
Terconazole,DB00251,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
Phenytoin,DB00252,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
Medrysone,DB00253,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
Doxycycline,DB00254,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
Diethylstilbestrol,DB00255,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
Lymecycline,DB00256,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C
Clotrimazole,DB00257,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
Calcium Acetate,DB00258,[Ca++].CC([O-])=O.CC([O-])=O
Sulfanilamide,DB00259,NC1=CC=C(C=C1)S(N)(=O)=O
Cycloserine,DB00260,N[C@@H]1CONC1=O
Anagrelide,DB00261,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
Carmustine,DB00262,ClCCNC(=O)N(CCCl)N=O
Sulfisoxazole,DB00263,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
Metoprolol,DB00264,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
Dicoumarol,DB00266,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
Cefmenoxime,DB00267,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
Ropinirole,DB00268,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
Isradipine,DB00270,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
Betazole,DB00272,NCCC1=CC=NN1
Topiramate,DB00273,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
Cefmetazole,DB00274,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O
Olmesartan,DB00275,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O
Amsacrine,DB00276,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
Theophylline,DB00277,CN1C2=C(NC=N2)C(=O)N(C)C1=O
Argatroban,DB00278,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
Liothyronine,DB00279,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
Disopyramide,DB00280,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C
Lidocaine,DB00281,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
Pamidronate,DB00282,NCCC(O)(P(O)(O)=O)P(O)(O)=O
Clemastine,DB00283,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
Acarbose,DB00284,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
Venlafaxine,DB00285,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
Travoprost,DB00287,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F
Amcinonide,DB00288,[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Atomoxetine,DB00289,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
Bleomycin,DB00290,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O
Chlorambucil,DB00291,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
Etomidate,DB00292,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
Raltitrexed,DB00293,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
Etonogestrel,DB00294,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
Morphine,DB00295,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
Ropivacaine,DB00296,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C
Bupivacaine,DB00297,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
Dapiprazole,DB00298,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1
Penciclovir,DB00299,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2
Tenofovir disoproxil,DB00300,[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C
Flucloxacillin,DB00301,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O
Tranexamic Acid,DB00302,NC[C@H]1CC[C@@H](CC1)C(O)=O
Ertapenem,DB00303,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
Desogestrel,DB00304,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]
Mitomycin,DB00305,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O
Talbutal,DB00306,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
Bexarotene,DB00307,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C
Ibutilide,DB00308,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
